fromNode	toNode	weight	direction	fromAltName	toAltName
ORF107E	AT1G79770	0.0147301496030962	undirected	NA	NA
ORF107E	AT1G35040	0.063298196293659	undirected	NA	NA
ORF107E	AT1G32670	0.182805923234742	undirected	NA	NA
ORF107E	AT1G47790	0.0359383815316747	undirected	NA	NA
ORF107E	AT1G42375	0.179747966595977	undirected	NA	NA
ORF107E	AT1G50160	0.225739326438074	undirected	NA	NA
ORF107E	AT1G11690	0.026807688957731	undirected	NA	NA
ORF107E	AT1G54430	0.245533041761169	undirected	NA	NA
ORF107E	AT2G11560	0.221872245994356	undirected	NA	NA
ORF107E	AT2G01920	0.0145246667302982	undirected	NA	NA
ORF107E	AT2G04970	0.05599952786676	undirected	NA	NA
ORF107E	AT2G31700	0.240067069153663	undirected	NA	NA
ORF107E	AT2G07673	0.207382780959944	undirected	NA	NA
ORF107E	AT2G24920	0.131932446219806	undirected	NA	NA
ORF107E	AT2G16330	0.170148384344275	undirected	NA	NA
ORF107E	AT2G11360	0.216743621749019	undirected	NA	NA
ORF107E	AT2G11390	0.153904941792659	undirected	NA	NA
ORF107E	AT2G14380	0.16209578311865	undirected	NA	NA
ORF107E	AT2G25550	0.163870772779366	undirected	NA	NA
ORF107E	AT2G18640	0.196377285477749	undirected	NA	NA
ORF107E	AT2G02210	0.210950911736214	undirected	NA	NA
ORF107E	AT2G07010	0.152905131487656	undirected	NA	NA
ORF107E	AT2G29620	0.206097474323339	undirected	NA	NA
ORF107E	AT2G32880	0.0268742645513497	undirected	NA	NA
ORF107E	NDHG	0.0347674061254345	undirected	NA	NA
ORF107E	ATPI	0.0563427641094174	undirected	NA	NA
ORF107E	AT2G33160	0.0948301349374334	undirected	NA	NA
ORF107E	AT5G39640	0.0506883325785861	undirected	NA	NA
ORF107E	AT3G47260	0.101418700363635	undirected	NA	NA
ORF107E	AT3G46390	0.138767329881266	undirected	NA	NA
ORF107E	AT4G13900	0.0419040135926307	undirected	NA	NA
ORF107E	AT4G11470	0.0127083137763352	undirected	NA	NA
ORF107E	AT1G36640	0.0158330120161892	undirected	NA	NA
ORF107E	AT1G52610	0.0569457795364374	undirected	NA	NA
ORF107E	AT2G15200	0.124079516782646	undirected	NA	NA
ORF107E	AT2G16450	0.0374893765667518	undirected	NA	NA
ORF107E	AT1G65360	0.0259512340007861	undirected	NA	NA
ORF107E	AT1G52010	0.0618124361657446	undirected	NA	NA
ORF158	ORF184	0.197692376783194	undirected	NA	NA
ORF158	PSBN	0.107700767289417	undirected	NA	NA
ORF158	YCF6	0.405186440106698	undirected	NA	NA
ORF158	AT5G14990	0.169772603445203	undirected	NA	NA
ORF158	AT5G39870	0.0841061949276087	undirected	NA	NA
ORF158	AT3G54570	0.135115479052334	undirected	NA	NA
ORF158	AT3G45380	0.0633756944520649	undirected	NA	NA
ORF158	AT4G11700	0.0281891158209922	undirected	NA	NA
ORF158	AT4G08680	0.0116845237117932	undirected	NA	NA
