ID,Zygotic_r1,Zygotic_r2,Day7_r1,Day7_r2,Day14_r1,Day14_r2,Somatic_r1,Somatic_r2
AT2G11160,0.96387478,1.5190925,1.850730106,0.322982503,0.451402382,0.874800429,0.913964368,0.517583016
AT2G11170,10.71778487,3.274131378,4.12318652,26.38250841,5.165510642,16.0732692,10.98820056,8.73126555
AT2G11190,1.686172173,10.63820243,17.15195867,2.357403953,1.568239946,1.282169088,1.582845827,1.506101824
AT2G18550,43.68272921,84.30201616,28.12116172,21.33789276,16.12331863,36.60585646,200.2483757,60.42827235
AT2G24210,8.207712238,7.849053698,7.152093729,2.266831638,2.369894678,2.75327863,0.805969346,12.04669438
AT2G24220,201.9838858,156.9049999,88.94592308,82.66402176,83.58658381,95.96327359,145.5314908,168.9193994
AT2G24230,727.2853678,763.4668875,152.7581716,188.9158015,117.3293814,109.4369647,369.2012271,386.8242399
AT2G24240,328.1586115,263.6648973,108.2327963,89.59386678,59.04992408,74.43176247,224.0989698,402.4097012
AT2G24255,33.22662872,41.19430462,55.90682844,69.51632341,57.05619744,47.20879834,37.22857182,82.906452
AT2G24260,268.3441481,254.5063859,553.1145592,622.6735208,647.827321,715.7539877,1565.253071,1342.166491
AT2G24280,901.601182,953.4046016,607.9441348,791.7191591,346.0098029,297.4315452,734.5248248,452.5461767
AT2G24120,81.57552967,99.88602033,184.0034543,233.9472161,278.4161869,302.7098125,298.3749594,172.8286798
AT2G24130,15.61530151,18.00739658,7.16564174,20.56217251,20.65256225,33.39673504,76.864196,104.7046996
AT2G24160,24.73443381,48.35104255,32.39509938,43.33629362,2.937809093,11.74532587,39.48054185,35.10840394
AT2G24170,927.6771354,957.9200251,572.4551427,590.9456509,408.3951917,401.2052541,233.7078257,264.7679314
AT2G24140,1.564973722,2.739804401,2.23912594,2.989129149,7.803909128,16.38680784,36.48774604,7.718749747
AT2G24200,3484.957163,3403.20417,3371.056774,2512.266521,6807.810949,6644.224334,5705.258765,4502.482559
AT2G24250,39.56288519,53.14332346,38.27018064,116.7076274,89.08820304,97.79817305,74.95752099,66.95082588
AT2G24270,11672.72072,9917.573541,1274.417538,1321.385271,82.90020099,127.8644461,2794.361259,2461.392535
AT2G24100,558.9207555,580.155917,855.6442332,832.9043281,711.2614439,670.3246918,746.0011638,1181.357342
AT2G24180,266.0121378,267.3285833,2070.655157,1482.414583,1752.124259,1860.424792,1189.542068,1498.660309
AT2G24150,1088.037016,1059.080614,1295.143266,1251.698736,1845.777109,1600.306295,1930.521578,2200.052897
AT2G37310,32.19348668,34.53263458,47.92145729,52.99180396,96.96875318,80.36189138,71.86445008,56.91344927
AT2G37320,16.66491055,28.95129294,65.89760823,80.51885189,79.48050425,72.36036115,76.63870827,90.46184319
AT2G37330,38.21202791,18.38970125,69.75956696,55.76180435,56.95042083,47.71359822,232.9751195,159.9857601
AT2G37340,2657.675102,2971.314336,3840.113004,4080.856784,6916.095001,6792.547346,5539.029297,6435.764148
AT2G37360,106.9754905,40.24972061,43.83216668,2.005919414,41.9989779,59.9171996,71.47108731,109.5296167
AT2G37380,630.9748978,532.3416234,65.692404,45.20422032,37.26868971,27.26779102,196.8389908,115.4090487
AT2G37390,375.1158639,348.2114978,45.4690064,33.55501092,32.07066214,32.9201705,40.36422673,57.46890075
