"header","Zygotic_r1","Zygotic_r2","Day7_r1","Day7_r2","Day14_r1","Day14_r2","Somatic_r1","Somatic_r2"
"AT3G53660",14.15251972,6.472644333,15.37007666,25.00484243,43.83724794,57.67028722,22.9738123,46.32961378
"AT3G53370",1991.249978,1615.24101,693.3774988,982.9143528,244.6262426,215.6420211,147.6307577,517.8942319
"AT3G53160",29.38244326,20.04088594,62.95620978,62.3062342,127.5955034,110.9179027,28.13207926,33.07206981
"AT3G53280",446.9176719,608.6535623,138.8630743,171.6657104,3.506543735,27.01656426,0.846699812,31.27240439
"AT3G52960",9128.217042,9632.900645,3332.681202,3164.65251,1699.636876,1641.741708,1539.438485,1653.662118
"AT3G52750",522.0241059,747.8333716,203.341722,239.0039156,169.3822333,120.2668268,285.4051727,233.7135684
"AT3G52830",0.702761528,2.372105323,2.523872534,0.567003864,0.670270618,17.84339894,0.179844523,0.87808486
"AT3G52870",152.0181881,285.017,287.7046628,250.540032,1837.663161,1707.681571,695.3425983,627.4478876
"AT3G52900",84.48622689,26.81700111,26.1383686,48.61699639,22.23384627,3.515873902,354.4071537,65.23583835
"AT3G52690",4.143481166,16.28160248,4.567214693,2.317960029,1.246368827,1.63249061,2.310469762,2.968201977
"AT3G52150",3082.839357,3664.813743,1152.249752,1067.620602,331.0786509,287.6327998,919.8144774,963.2109961
"AT3G52600",5.762073656,14.51615172,15.21412512,3.583810383,3.75942978,1.267626076,12.43830021,7.490251316
"AT3G52480",8.832113218,2.406783302,13.7594332,14.74714355,93.56864453,121.2007192,261.062647,283.1520497
"AT3G52430",11.86191437,2.672678677,17.02732764,2.684185387,47.36933271,64.73749081,41.948972,70.15358045
"AT3G52110",1597.388404,937.3461663,456.1716851,443.1465622,177.813798,169.2378757,471.3204237,302.3664648
"AT3G51510",4136.213007,3494.643308,1209.89591,832.6781023,236.9359059,297.814348,534.4460665,1406.453706
"AT3G50540",4.868770726,10.19102253,19.19057506,31.45067449,28.86645501,35.67260699,9.2540903,10.04351877
"AT3G50440",2536.084558,2542.75365,945.3906127,756.0209656,594.2993002,551.9396584,140.9074169,785.2718149
"AT3G50685",3763.905283,3730.935205,1069.957603,839.71357,609.4119572,633.809442,930.6121336,1154.318205
"AT3G50300",2.591595217,3.302349219,3.479552343,4.048992088,28.79502453,30.04230704,448.1315849,306.7421521
"AT3G50160",2.680891499,23.96433186,25.97303638,13.32730849,0.950529094,2.688512219,6.856719221,3.906930045
"AT3G49860",27.77791801,3.161240435,64.78165323,58.77165037,87.75664402,54.25092387,489.4863359,465.8934779
"AT3G49300",281.7773251,247.6885084,191.6904127,227.9973227,44.96931552,40.04805987,2.506539203,27.72372094
"AT3G49510",2.906819268,2.637807966,1.92783135,18.8045127,17.70433064,14.218393,6.677419552,4.699334331
"AT3G49520",1.316406795,1.697524414,9.612925731,0.752425507,10.83077663,2.400618458,8.810860273,30.23132755
"AT3G49090",16.91436478,29.28142095,28.26072672,9.775012718,85.4382923,132.4501905,22.30542304,10.92281756
"AT3G48730",1663.941189,2054.60703,763.6508477,659.5481867,366.4025718,422.4520104,686.4555933,440.3277709
"AT3G48510",489.7376226,459.1654758,528.2962314,236.5668116,4557.208116,4681.759781,1170.773879,757.5052802
"AT3G48770",4.778596847,10.3207736,13.09450714,19.59230827,34.25861976,46.47916643,21.21399902,26.76804475
"AT3G48650",9.097656305,4.523661036,18.74483187,8.559038082,0.681606478,0.861626172,3.864757182,3.303088845
"AT3G48360",4.662711005,4.112878811,20.00721402,1.931068769,42.11725169,18.08770929,602.3788816,599.0490757
"AT3G48520",72.50810424,56.65766141,268.5635313,216.8240393,450.3388144,467.0319393,296.178027,155.2879625
"AT3G47750",61.25920303,58.16327833,20.96255542,39.08337023,3.090245526,24.7569648,2.238846726,46.85383922
"AT3G47650",2211.184183,2439.055103,821.8955165,759.6270045,426.1245611,389.9863526,894.3048163,1060.542269
"AT3G47295",141.2855873,119.7544222,61.11777238,32.40687638,3.28541746,25.43870373,20.14804081,28.96869402
"AT3G47500",810.9697009,619.6545451,226.9189581,183.9617143,134.2134725,182.8217451,1041.146287,1261.009022
"AT3G47560",304.0516897,350.0397994,57.09952828,116.2375998,84.39908164,49.97180796,487.2664299,348.818995
"AT3G47220",192.413656,265.6306395,69.48784278,62.47822023,14.79443294,25.41165379,99.42463701,86.55348145
"AT3G46920",1577.928088,1238.489043,678.2886666,632.1444994,338.8406644,320.2024213,383.6146564,574.6369104
"AT3G46600",89.99132593,126.9087834,487.0690314,365.0104252,465.2580676,494.8527991,578.3866378,476.2405574
"AT3G46700",3.258836825,2.873037096,3.747393084,4.19862651,44.08384285,30.01351263,56.66073669,84.18938911
"AT3G46730",21.36221156,15.84516265,22.44296852,9.678759932,5.943699756,0.961552664,3.26308,1.683561519
"AT3G46210",291.9082334,335.0604115,1165.143564,1202.773667,1587.950439,1635.472833,1033.027757,741.430788
"AT3G46230",898.6117575,803.1799156,352.5726493,284.5274024,128.881579,98.31987384,36.9533581,527.1329202
"AT3G46500",3.762133031,0.952698471,5.490016861,2.79363463,21.06119228,20.47611029,50.80385866,79.65733055
"AT3G45810",2.351281044,3.819931735,4.605796567,2.789474909,8.378273691,22.58127173,0.910471179,3.486473857
"AT3G45940",1.570178731,4.035995056,8.948422105,3.367949513,2.739033072,23.41888797,1.002392183,4.355545145
"AT3G45500",1.24170645,1.604105089,2.498940609,3.251457995,2.708962803,17.9803886,6.517957908,4.072963371
"AT3G45220",25.66318581,6.251711886,13.39313517,3.303273758,0.71123016,1.654197758,10.82832149,33.3703782
"AT3G45320",21.06657823,23.18024527,4.741378762,16.42037539,2.350128552,1.487128422,2.515073097,9.304838262
"AT3G44735",1441.735482,697.845652,491.4334528,628.9402662,152.2301438,154.6825559,169.427002,277.2676136
"AT3G44960",60.10526398,47.54917721,10.5557843,23.08544657,2.107206295,1.215934989,94.6620007,50.39041501
"AT3G44470",1.581928619,0.378535289,1.082548797,5.591495141,1.597121402,10.03014472,0.64513159,1.897206593
"AT3G44500",25.7918841,6.71651546,8.852100992,35.10382642,46.19323779,139.471017,28.36709652,12.03544781
"AT3G44540",42.09111987,25.53446147,41.79331465,9.527011084,156.9788723,138.429187,120.8632224,191.5361575
"AT3G44550",8.602463746,37.65239181,68.42196928,42.03890428,136.4226414,111.0807315,156.9436311,73.25853116
"AT3G44630",328.036388,186.8584961,86.05524107,120.6421083,37.08035972,39.96895248,290.9445591,138.5631755
"AT3G44430",23.74886669,112.2811248,193.4136421,249.2121133,292.8118514,323.0958421,231.4431505,189.535124
"AT3G44210",0.65382414,2.540823958,2.672851815,0.646899661,10.2793538,5.295742644,2.066477435,1.846084025
"AT3G44370",43.59896907,8.770813345,78.40922973,119.3695476,137.3036795,107.0194158,42.29794544,63.23039398
"AT3G44020",126.433501,109.971774,58.90037655,40.12587782,20.01278842,2.960636496,37.38630958,69.11909627
"AT3G44050",358.333285,351.2010947,80.33613245,144.9969126,82.45709659,58.43664238,202.6794327,63.74334021
