,z1_counts,z2_counts,o1_counts,o2_counts,g1_counts,g2_counts,h1_counts,h2_counts,t1_counts,t2_counts,b1_counts,b2_counts,m1_counts,m2_counts
AT1G70090,481.9307017,589.8109567,804.7585061,1103.537491,421.1782923,761.0418357,760.9237856,967.8339341,941.3289663,1688.128844,2221.520545,1693.655644,78.22432044,88.04459557
AT1G24170,571.1412138,778.5504629,1708.564213,1770.16422,529.7633208,283.7998819,748.8456303,1148.990027,413.2663754,425.2786127,278.6732904,240.293609,1.564486409,17.60891911
AT2G34430,19.3935896,25.06696566,39.46411905,36.03387725,26.32364327,0,6.039077664,20.01724786,757.6550216,290.8775855,161.8102977,147.49056,0,0.978273284
AT2G34420,9875.215826,9697.966656,1789.040064,1810.702332,848.9374955,702.5001561,13042.89798,17483.06428,44826.28217,35272.80292,41180.72075,16379.73814,12.51589127,304.2429913
AT3G54890,1808.452231,1925.732774,815.5917937,671.1309638,562.6678749,579.0535707,5317.407883,8105.984522,14031.37741,16236.55308,9976.054323,5191.999151,32.85421459,209.3504828
AT3G61470,2642.376584,2901.869907,802.4370873,569.785684,980.5557119,1179.74211,4171.492896,4715.062734,17750.77479,14402.98544,17188.97308,5959.281502,7.822432044,202.5025698
AT1G61520,500.3546118,794.7702642,391.5459655,567.5335667,1171.402126,557.4186021,2343.162134,1795.547133,19915.50343,16009.95425,12806.61085,7344.698448,4.693459227,214.2418492
AT3G47470,407.2653817,588.3364293,1904.337196,2164.284752,1148.368938,850.1270004,6520.694107,7272.266148,29348.47244,25223.24205,21069.04917,10120.50393,239.3664206,541.9633994
AT1G45474,4.848397401,2.949054784,35.59508777,40.53811191,6.580910818,17.81703294,46.80285189,55.04743162,705.1767517,592.7929365,609.0359814,518.7027559,73.53086122,80.21840929
AT1G19150,158.0577553,252.144184,63.45211298,69.81563717,46.06637572,59.81432488,170.603944,127.1095239,393.5870242,267.5034938,48.31835277,8.285986516,0,0.978273284
AT2G05100,415.0228175,644.3684702,147.0231886,168.9087996,180.9750475,123.4465854,2720.604488,4330.731575,9387.050528,7473.216537,6501.627654,3301.137028,1.564486409,105.6535147
AT2G05070,223.9959599,384.8516493,191.1301452,168.9087996,62.51865277,81.44929346,798.668021,1970.698052,8219.409023,8644.518243,3259.803288,1638.968133,1.564486409,114.4579742
AT3G27690,31.99942285,30.96507523,70.41636928,76.57198916,0,11.45380689,211.3677182,188.1621299,2197.527552,1631.641456,919.1723853,268.4659631,0,17.60891911
AT5G54270,684.593713,1191.418133,1039.221802,932.3765738,1029.912543,958.3018433,2694.938407,3752.233112,18564.18798,23943.51053,13923.55138,7266.810174,7.822432044,315.0039975
AT5G01530,247.2682675,613.403395,494.4621975,490.9615775,875.2611388,590.5073776,5004.885614,4323.725538,34720.93532,33584.67408,21546.61429,9054.926065,1509.729385,1529.041143
AT3G08940,797.0765327,903.8852912,253.0346457,299.5316046,302.7218976,223.985557,2965.187133,2740.361232,11600.97754,9848.933245,6642.087982,1867.661361,173.6579914,508.7021077
